coin,favor,forward,list,name,thumb,view
11000.0,11000.0,12000.0,"生活,搞笑,颜值,美男,帅哥,川渝,搞笑研究所8.0,成熟",我们已经是成熟的川渝四大美男了~,287000.0,2593000.0
108000.0,45000.0,74000.0,"游戏,手机游戏,手机游戏,曼舞流连,妮露,米哈游,miHoYo,赤土之王与三朝圣者",《原神》妮露角色PV——「曼舞流连」,298000.0,2815000.0
81000.0,37000.0,42000.0,"配音,英雄联盟,搞笑,动画,综合,电子竞技,新番,预告片,亚托克斯,芙兰,转生成为魔剑,动画短片群星计划第四期",【十月霸权】转生成为魔剑亚托克斯~暗裔的奇妙冒险（第一集）,124000.0,1494000.0
34250000.0,14000.0,17060000.0,"跑步,运动,健身",也许这就是命,303000.0,2168000.0
21000.0,22000.0,43260000.0,"考研,生活,搞笑,校园,魔性,幽默,高能,生活,吐槽,搞笑研究所8.0,焦虑,就业",可我确实也会嫉妒啊...,175000.0,929000.0
47000.0,20000.0,22370000.0,"动漫杂谈,搞笑,动画,综合,二次元,高能,美少女,杂谈,吐槽,动画杂谈,名场面,阅片无数",我结婚以后，这些美少女就托付给你们了【阅片无数特别篇】,216000.0,1928000.0
55000.0,32000.0,13000.0,"生活,搞笑,中国BOY,生活,老番茄,高能,搞笑研究所8.0,挑战,驾照考试,科目二,小潮院长,雨哥到处跑",当我找了一堆up主重考科目二，公布成绩的时候我傻眼了…,246000.0,2493000.0
48000.0,27000.0,24000.0,"音乐,MV,华语MV,MV",《金属机械萌妹成长指南》,159000.0,1092000.0
10000000.0,95300000.0,37180000.0,"动物圈,动物综合,动物观察局·心动的信号",鸭子淋雨一动不动？,190000.0,1912000.0
59000.0,38000.0,26000.0,"手书,虚拟UP主,动画,综合,虚拟形象星光计划第十期,毕业,罗伊Roi,告别,虚拟主播,Virtuareal",三年之期已到，我要回异世界啦,136000.0,1153000.0
60000.0,26000.0,44570000.0,"潮流,服饰,搞笑,生活,搞笑,生活,花少北,全程高能,时尚,逗比,搞笑研究所8.0,换装,徐大虾,雨哥到处跑",【潮王】我不信谁敢穿这样上街,153000.0,1323000.0
65000.0,150000.0,13000.0,"生活,出行",有个社交恐惧症的朋友是什么体验！,1096000.0,6935000.0
74000.0,31000.0,97380000.0,"新宝岛,婚礼,街舞,搞笑,舞蹈,舞蹈综合,舞蹈,魔性,舞蹈翻跳,只因",只因兄弟结婚，我们整了个顶级好活,152000.0,1129000.0
92720000.0,47000.0,26000.0,"日常,娱乐,生活记录,高能",每一步都在意料之外,276000.0,2554000.0
14000.0,25000.0,17750000.0,"时尚,美妆护肤,逆袭",坚持热爱1万小时，就是普通人的逆袭捷径,320000.0,1353000.0
16000.0,63980000.0,8940000.0,"炸鸡,美食,美食,美食制作,油炸,料理制作,美食vlog,香肠,大肠包小肠,地方特产,地域美食,台湾鸡排,地方美食发现之旅",吃光就是我们公司的工作内容,218000.0,1902000.0
186000.0,60000.0,39000.0,"微电影,手书,英雄联盟,搞笑,游戏,电子竞技,电子竞技,轮回,动画,泪目,lol",我打了10000局排位，只为这一局的胜利！！,189000.0,2303000.0
20950000.0,14000.0,36110000.0,"绘画,生活,绘画,原创,生活记录,人生",贫穷限制了我的想象,239000.0,2358000.0
